"incident_id","underlying_case_type","overlapping_case_type_flags","victim_suicide","homicide_suicide","victim_alcohol_indicator","perpetrator_alcohol_indicator","both_alcohol_indicators"
"INC-0364","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0365","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0366","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0367","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0369","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0370","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0371","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0372","IPV",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0373","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0375","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0376","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0377","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0378","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0379","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0380","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0381","Other familial",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0383","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0384","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0385","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0386","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0387","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0388","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0389","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0390","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0391","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0392","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0393","IPV",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"INC-0394","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0395","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0396","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0397","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0398","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0399","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0400","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0401","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0402","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0403","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0404","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0405","Other/uncategorised",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0406","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0407","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0408","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0409","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0410","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0411","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0412","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0414","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0415","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0416","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0417","IPV",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"INC-0418","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0419","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0420","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0421","IPV",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
"INC-0422","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0423","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0424","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0425","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0426","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0427","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0428","IPV",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0429","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0430","Other/uncategorised",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"INC-0431","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0432","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0433","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0435","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0436","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0437","IPV",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"INC-0438","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0439","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0440","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0441","IPV",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"INC-0442","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0443","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0444","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0445","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0446","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0447","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0448","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0449","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0450","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0452","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0454","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0455","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0456","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0458","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0459","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0462","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0463","IPV",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"INC-0464","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0465","Parricide",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0466","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0467","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0468","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0469","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0470","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0471","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0472","Parricide",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0473","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0474","Other familial",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0475","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0476","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0477","IPV",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"INC-0478","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0479","IPV",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0480","IPV",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"INC-0481","Parricide",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
"INC-0482","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0483","Parricide",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0484","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0485","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0486","IPV",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"INC-0487","Other/uncategorised",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
